data,Battery,Camera,Performance,Display,Design,Software,Packaging,Price,Warranty,Shop_Service,Shipping,General,Others,Audio,id,num_annotators,manager_reviewed_labels
đóng gói không chắc chắn máy va đập hỏng loa camera màu sắc lệch lạc shipping phí cao nhưng chậm,,Negative,,,,,Negative,,,,,,,,219548483,3,
"màu sắc: màu ngẫu nhiên sản phẩm: cáp sạc quá ngon,máy không quá mắc tiền nhưng chất lượng nhận được thì qua tuyệt, ngoại hình cũng đẹp, giao hàng lại nhiệt tình nên mình rất hài lòng",,,,,Positive,,,Positive,,,,,,,219548484,3,
"tốt tôi đã nhận được hang ,giao hàng nhanh đúng hẹn máy đẹp nhưng quay video và chụp ảnh mờ nhoè",,Negative,,,Positive,,,,,,,,,,219548485,3,
"mới sử dụng thấy cũng ổn, còn độ bền thì chưa biết. giá hợp ví",,,,,,,,Positive,,,,,,,219548486,3,
chất lượng sản phẩm: năng hiệu chậm nóng. đúng với mô tả: khớp không tốc độ. tính năng nổi bật: camera đêm nhiễu. review: giật sử dụng lag lâu. đêm tệ chụp. ship trễ rách hộp,,Negative,Negative,,,,Negative,,,,,,,,219548487,3,
"chất lượng sản phẩm: không xứng đáng đúng với mô tả: phóng đại tính năng nổi bật: tầm thường mua máy 5tr nhưng hiệu năng kém, không xứng giá, hối hận",,,Negative,,,,,Negative,,,,,,,219548488,3,
màu sắc: đen phân loại: không hộp mới + sạc 18w tính năng:không mượn như tốt chất lượng:khá tốt chất liệu:. cửa hàng uy tín mọi người nên ủng hộp nhui,,,,,,,,,,,,Positive,,,219548489,3,
"chất lượng sản phẩm: hiệu năng chậm khi mở camera. đúng với mô tả: khác quảng cáo mượt. tính năng nổi bật: cam lấy nét chậm. review: mở cam delay, ảnh dễ out nét, pin nhanh xuống, chăm sóc khách hàng khó liên hệ",Negative,Negative,Negative,,,,,,,Negative,,,,,219548490,3,
"nhóm màu: xanh hai khe cắm sim cho tiện lợi, màn hình sắc nét với độ phân giải full hd+, chất lượng camera tuyệt vời để ghi lại những khoảnh khắc,",,Positive,,Positive,,,,,,,,,,,219548491,3,
nhóm màu: màu xanh đậm khả năng lưu trữ: 128gb điện thoại tốt. hàng sách tay cty at&t 1 sim 5g. hình thức rất mới. test game pubg max setting chơi rất đã. không bị nóng máy lắm. nên mua. nhớ chú ý sản phẩm chỉ có 1 sim nha. hộp đầy đủ sạc nhanh samsung và dây cáp.,,,Positive,,,,,,,,,,,,219548492,3,
chất lượng sản phẩm: bình thường. đúng với mô tả: bình thường. tính năng nổi bật: vận chuyển rùa bò. review: phí ship thì đắt mà giao hàng thì quá chậm. đặt cùng lúc 3 cửa hàng thì cửa hàng này giao cuối cùng.,,,,,,,,,,,,,,,219548493,3,
giá này đố tìm được con nào màn đẹp như này cửa hàng uy tín không có gì để chê,,,,Positive,,,,,,,,,,,219548494,3,
"nhóm màu: đen màn hình sống động với độ phân giải full hd+, dung lượng lưu trữ rộng rãi 128gb, bảo hành 12 tháng đáng tin cậy,",,,,Positive,,,,,Positive,,,,,,219548495,3,
tính năng nổi bật: hàng chính hãng việt nam! chất lượng sản phẩm: hàng mới không phải bàn,,,,,,,,,,,,Positive,,,219548496,3,
"màn hình cảm ứng mượt mà, phản hồi nhanh., san pham như mo ta rất hài lòng long cho 5sao nhe",,,,Positive,,,,,,,,,,,219548497,3,
điện thoại nhanh hết pin.,Negative,,,,,,,,,,,,,,219548498,3,
"lúc mới đặt hàng cũng hơi lo lắng vì không biết mua điện thoại qua mạng sẽ thế nào nhưng thật may khi nhận hàng được cái máy đẹp, chức năng máy đầy đủ sử dụng bữa giờ cũng hơn 1 tuần rồi vẫn ổn nên đánh giá tốt cho cửa hàng",,,,,,,,,,,,Positive,,,219548499,3,
nhóm màu: xanh đã nhận hàng . cửa hàng giao hàng nhanh. sản phẩm chính hãng. hài lòng,,,,,,,,,,,,,,,219548500,3,
"nút bấm hỏng giá không như web wifi yếu,",,,,,,,,Negative,,,,,,,219548501,3,
"nhóm màu: xanh trải nghiệm người sử dụng mượt mà và liền mạch, tuổi thọ pin lâu dài, thiết kế mượt mà và phong cách, dung lượng lưu trữ rộng rãi 128gb, dung lượng lưu trữ rộng rãi 128gb, bảo hành 12 tháng đáng tin cậy,",Positive,,Positive,,Positive,,,,Positive,,,,,,219548502,3,
đúng với mô tả: đúng chất lượng sản phẩm: tốt tính năng nổi bật: trâu hàng đúng mô tả pin trâu sử dụng không biết bền không,Positive,,,,,,,,,,,,,,219548503,3,
màu sắc: đen mấy người biết gì .khen khen nghe to rõ.máy này đâu phải dành cho điết.cho người già củng không được vì chữ tong máy nhỏ.loa hơi được'rung thì yếu.mà mấy ngươi khen to rõ.dốt trả,,,,,,,,,,,,Negative,,,219548504,3,
chất lượng sản phẩm: tuyệt vời tính năng nổi bật: ổn đúng với mô tả: đúng với mô tả lần đầu mua trên mạng cũng run run nhưng khi nhận được đúng là ưng hêzt ý,,,,,,,,,,,,Positive,,,219548505,3,
"chất lượng sản phẩm: cảm biến vân tay nhận chậm. đúng với mô tả: tốc độ unlock quảng cáo không chính xác. tính năng nổi bật: cam lấy nét tự động thất thường. review: vân tay lâu nhận, af hay lạc hướng, pin tụt, hộp móp, chăm sóc khách hàng không hỗ trợ kịp",Negative,Negative,,,,Negative,Negative,,,Negative,,,,,219548506,3,
"nhóm màu: đen trải nghiệm người sử dụng mượt mà và liền mạch, thiết kế mượt mà và phong cách, tuổi thọ pin lâu dài,",Positive,,,,Positive,,,,,,,,,,219548507,3,
"nhóm màu: pink dung lượng lưu trữ: 128gb tính năng sáng tạo, chất lượng máy ảnh ấn tượng, màn hình sống động,",,Positive,,Positive,,,,,,,,,,,219548508,3,
"chất lượng sản phẩm: không đúng với mô tả , màu sắc không đúng sản phẩm: sản phẩm không như mô tả",,,,,,,,,,,,Negative,,,219548509,3,
